date,price,load,wind
1/1/2019 0:00,32.9,10002,1127.3329
1/1/2019 1:00,32.78,9867,1149.4994
1/1/2019 2:00,32.78,9736,1091.5827
1/1/2019 3:00,32.78,9594,1123.1662
1/1/2019 4:00,32.13,9524,1101.4162
1/1/2019 5:00,27.19,9517,1056.5831
1/1/2019 6:00,27.19,9590,1069.0829
1/1/2019 7:00,27.17,9654,1194.3329
1/1/2019 8:00,27.15,9713,1218.6664
1/1/2019 9:00,27.16,9729,1207.7494
1/1/2019 10:00,28.07,9840,1130.6662
1/1/2019 11:00,32.4,9932,1063.4161
1/1/2019 12:00,32.88,9988,1006.4161
1/1/2019 13:00,32.85,9974,983.583
1/1/2019 14:00,32.78,9958,991.9162
1/1/2019 15:00,32.78,10028,994.9162
1/1/2019 16:00,32.99,10308,1057.2494
1/1/2019 17:00,33.18,10610,1141.2493
1/1/2019 18:00,33.14,10473,1122.1661
1/1/2019 19:00,33.04,10355,1038.6663
1/1/2019 20:00,32.47,10198,1097.1664
1/1/2019 21:00,27.43,9985,1127.6664
1/1/2019 22:00,26.24,9698,1242.6661
1/1/2019 23:00,26.83,9440,1263.7496
1/2/2019 0:00,27.66,9263,1192.833
1/2/2019 1:00,28.46,9148,1182.0827
1/2/2019 2:00,28.46,9151,1201.7495
1/2/2019 3:00,27.26,9195,1216.9993
1/2/2019 4:00,28.19,9250,1217.8328
1/2/2019 5:00,28.46,9435,1209.6662
1/2/2019 6:00,30.13,9775,1167.4161
1/2/2019 7:00,32.06,10144,1201.6661
1/2/2019 8:00,32.9,10392,1209.9994
1/2/2019 9:00,33.14,10474,1223.0827
1/2/2019 10:00,33.21,10541,1188.1659
1/2/2019 11:00,33.21,10584,1268.8326
1/2/2019 12:00,33.14,10521,1207.3327
1/2/2019 13:00,33,10481,1180.4995
1/2/2019 14:00,32.78,10378,1141.8325
1/2/2019 15:00,32.76,10382,995.416
1/2/2019 16:00,32.85,10561,857.5828
1/2/2019 17:00,33.23,10770,793.9994
1/2/2019 18:00,33.22,10613,882.8327
1/2/2019 19:00,33.18,10501,950.9161
1/2/2019 20:00,33.09,10392,1058.166
1/2/2019 21:00,32.78,10204,1074.9159
1/2/2019 22:00,29.05,9872,884.4996
1/2/2019 23:00,28.46,9583,897.916
1/3/2019 0:00,32.85,9406,774.9162
1/3/2019 1:00,28.75,9292,851.5829
1/3/2019 2:00,28.46,9219,867.0828
1/3/2019 3:00,28.46,9219,805.2496
1/3/2019 4:00,28.46,9234,809.3326
1/3/2019 5:00,28.8,9374,817.4161
1/3/2019 6:00,31.47,9672,817.9996
1/3/2019 7:00,29.15,10051,787.5829
1/3/2019 8:00,32.53,10326,722.4162
1/3/2019 9:00,32.78,10326,677.4993
1/3/2019 10:00,32.78,10435,630.9161
1/3/2019 11:00,32.78,10462,633.2494
1/3/2019 12:00,32.78,10486,669.4995
1/3/2019 13:00,32.78,10501,681.333
1/3/2019 14:00,32.78,10534,786.5829
